Park Area,Year,Month,Day,Nest Count,Month as a Number
Cavendish,2023,Aug,25,35,8
Cavendish,2023,Aug,25,1,8
Cavendish,2023,Aug,25,0,8
Cavendish,2023,Aug,25,3,8
Cavendish,2023,Aug,25,0,8
Cavendish,2023,Aug,25,3,8
Cavendish,2023,Aug,25,4,8
Cavendish,2023,Aug,25,4,8
Cavendish,2023,Aug,25,3,8
Cavendish,2023,Aug,25,93,8
Cavendish,2023,Aug,25,97,8
Cavendish,2023,Aug,25,93,8
Cavendish,2023,Aug,25,97,8
Brackley-Dalvay,2023,Aug,25,3,8
Brackley-Dalvay,2023,Aug,25,4,8
Brackley-Dalvay,2023,Aug,25,3,8
Brackley-Dalvay,2023,Aug,25,0,8
Brackley-Dalvay,2023,Aug,25,1,8
Brackley-Dalvay,2023,Aug,25,2,8
Brackley-Dalvay,2023,Aug,25,1,8
Brackley-Dalvay,2023,Aug,25,0,8
Brackley-Dalvay,2023,Aug,25,12,8
Brackley-Dalvay,2023,Aug,25,17,8
Brackley-Dalvay,2023,Aug,25,13,8
Brackley-Dalvay,2023,Aug,25,12,8
Brackley-Dalvay,2023,Aug,25,0,8
Brackley-Dalvay,2023,Aug,25,0,8
Brackley-Dalvay,2023,Aug,25,0,8
Brackley-Dalvay,2023,Aug,25,0,8
Brackley-Dalvay,2023,Aug,25,0,8
Brackley-Dalvay,2023,Aug,25,0,8
Brackley-Dalvay,2023,Aug,25,0,8
Brackley-Dalvay,2023,Aug,25,0,8
Cavendish,2024,Sept,4,3,9
Cavendish,2024,Sept,4,4,9
Cavendish,2024,Sept,4,11,9
Cavendish,2024,Sept,4,146,9
Cavendish,2024,Sept,4,148,9
Cavendish,2024,Sept,4,6,9
Cavendish,2024,Sept,4,6,9
Cavendish,2024,Sept,4,9,9
Cavendish,2024,Sept,4,5,9
Cavendish,2024,Sept,4,6,9
Cavendish,2024,Sept,4,7,9
Cavendish,2024,Sept,4,0,9
Cavendish,2024,Sept,4,0,9
Cavendish,2024,Sept,4,0,9
Cavendish,2024,Sept,4,20,9
Cavendish,2024,Sept,4,15,9
Cavendish,2024,Sept,4,17,9
Cavendish,2024,Sept,4,5,9
Cavendish,2024,Sept,4,0,9
Cavendish,2024,Sept,4,2,9
Cavendish,2024,Sept,4,66,9
Cavendish,2024,Sept,4,57,9
Cavendish,2024,Sept,4,53,9
Cavendish,2024,Sept,4,2,9
Cavendish,2024,Sept,4,13,9
Cavendish,2024,Sept,4,8,9
Cavendish,2024,Sept,4,12,9
Cavendish,2024,Sept,4,9,9
Cavendish,2024,Sept,4,12,9
Cavendish,2024,Sept,4,67,9
Cavendish,2024,Sept,4,68,9
Cavendish,2024,Sept,4,54,9
Brackley-Dalvay,2024,Sept,4,1,9
Brackley-Dalvay,2024,Sept,4,1,9
Brackley-Dalvay,2024,Sept,4,1,9
Brackley-Dalvay,2024,Sept,4,4,9
Brackley-Dalvay,2024,Sept,4,9,9
Brackley-Dalvay,2024,Sept,4,4,9
Brackley-Dalvay,2024,Sept,4,41,9
Brackley-Dalvay,2024,Sept,4,49,9
Brackley-Dalvay,2024,Sept,4,41,9
Brackley-Dalvay,2024,Sept,4,1,9
Brackley-Dalvay,2024,Sept,4,1,9
Brackley-Dalvay,2024,Sept,4,1,9
Brackley-Dalvay,2024,Sept,4,2,9
Brackley-Dalvay,2024,Sept,4,4,9
Brackley-Dalvay,2024,Sept,4,4,9
Cavendish,2024,August,14,60,8
Cavendish,2024,August,14,62,8
