Common name,Count,Year,Month,Day,Location,Month as a number
Saffron-winged Meadowhawk,2,2009,Aug,4,Bells Pond,8
Band-winged Meadowhawk,3,2009,Aug,4,Bells Pond,8
Autumn Meadowhawk,2,2009,Aug,4,Bells Pond,8
Saffron-winged Meadowhawk,2,2009,Aug,4,Bells Pond,8
Damselfly,1,2009,Aug,4,Bells Pond,8
White-faced Meadowhawk,6,2009,Aug,4,Bells Pond,8
Meadowhawk,2,2009,Aug,4,Bells Pond,8
Autumn Meadowhawk,3,2009,Aug,4,Bells Pond,8
Damselfly,1,2009,Aug,4,Bells Pond,8
Variable Darner,1,2009,Aug,4,Bells Pond,8
Saffron-winged Meadowhawk,1,2009,Aug,4,Bells Pond,8
Band-winged Meadowhawk,5,2009,Aug,4,Bells Pond,8
Autumn Meadowhawk,2,2009,Aug,4,Bells Pond,8
Variable Darner,1,2009,Aug,4,Bells Pond,8
White-faced Meadowhawk,1,2009,Aug,4,Bells Pond,8
Band-winged Meadowhawk,1,2009,Aug,4,Bells Pond,8
Saffron-winged Meadowhawk,2,2009,Aug,4,Bells Pond,8
White-faced Meadowhawk,18,2009,Aug,4,Bells Pond,8
Band-winged Meadowhawk,4,2009,Aug,4,Bells Pond,8
Band-winged Meadowhawk,1,2009,Aug,4,Bells Pond,8
Band-winged Meadowhawk,6,2009,Aug,4,Bells Pond,8
Variable Darner,1,2009,Aug,4,Bells Pond,8
Saffron-winged Meadowhawk,2,2009,Aug,4,Bells Pond,8
White-faced Meadowhawk,2,2009,Aug,4,Bells Pond,8
Band-winged Meadowhawk,4,2009,Aug,4,Bells Pond,8
Saffron-winged Meadowhawk,3,2009,Aug,4,Bells Pond,8
White-faced Meadowhawk,2,2009,Aug,4,Bells Pond,8
Band-winged Meadowhawk,1,2009,Aug,4,Bells Pond,8
Autumn Meadowhawk,1,2009,Aug,4,Bells Pond,8
Saffron-winged Meadowhawk,2,2009,Aug,4,Bells Pond,8
White-faced Meadowhawk,4,2009,Aug,4,Bells Pond,8
Band-winged Meadowhawk,4,2009,Aug,4,Bells Pond,8
Saffron-winged Meadowhawk,1,2009,Aug,4,Bells Pond,8
White-faced Meadowhawk,11,2009,Aug,4,Bells Pond,8
Band-winged Meadowhawk,2,2009,Aug,4,Bells Pond,8
Meadowhawk,1,2009,Aug,4,Bells Pond,8
Autumn Meadowhawk,1,2009,Aug,4,Bells Pond,8
Damselfly,1,2009,Aug,4,Bells Pond,8
White-faced Meadowhawk,1,2009,Aug,4,Bells Pond,8
Band-winged Meadowhawk,1,2009,Aug,4,Bells Pond,8
Autumn Meadowhawk,1,2009,Aug,4,Bells Pond,8
Lance-tipped Darner,1,2009,Aug,4,Bells Pond,8
Saffron-winged Meadowhawk,10,2009,Aug,4,Bells Pond,8
Spiny Baskettail,1,2009,Aug,4,Bells Pond,8
Band-winged Meadowhawk,2,2009,Aug,4,Bells Pond,8
Variable Darner,2,2009,Aug,4,Bells Pond,8
White-faced Meadowhawk,4,2009,Aug,4,Bells Pond,8
Variable Darner,2,2009,Aug,4,Bells Pond,8
Saffron-winged Meadowhawk,6,2009,Aug,4,Bells Pond,8
White-faced Meadowhawk,3,2009,Aug,4,Bells Pond,8
Band-winged Meadowhawk,2,2009,Aug,4,Bells Pond,8
Saffron-winged Meadowhawk,1,2009,Aug,4,Bells Pond,8
Variable Darner,1,2009,Aug,4,Bells Pond,8
Saffron-winged Meadowhawk,1,2009,Aug,4,Bells Pond,8
White-faced Meadowhawk,1,2009,Aug,4,Bells Pond,8
Saffron-winged Meadowhawk,1,2009,Aug,4,Bells Pond,8
Saffron-winged Meadowhawk,3,2009,Aug,4,Bells Pond,8
Saffron-winged Meadowhawk,2,2009,Aug,4,Bells Pond,8
White-faced Meadowhawk,1,2009,Aug,4,Bells Pond,8
Damselfly,1,2009,Aug,4,Bells Pond,8
Saffron-winged Meadowhawk,2,2009,Aug,4,Bells Pond,8
White-faced Meadowhawk,5,2009,Aug,4,Bells Pond,8
Damselfly,1,2009,Aug,4,Bells Pond,8
Lance-tipped Darner,1,2009,Aug,4,Bells Pond,8
White-faced Meadowhawk,4,2009,Aug,4,Bells Pond,8
Band-winged Meadowhawk,1,2009,Aug,4,Bells Pond,8
Meadowhawk,1,2009,Aug,4,Bells Pond,8
Saffron-winged Meadowhawk,3,2009,Aug,4,Bells Pond,8
White-faced Meadowhawk,12,2009,Aug,4,Bells Pond,8
Band-winged Meadowhawk,1,2009,Aug,4,Bells Pond,8
Variable Darner,4,2009,Aug,4,Bells Pond,8
White-faced Meadowhawk,9,2009,Aug,4,Bells Pond,8
Meadowhawk,1,2009,Aug,4,Bells Pond,8
Lance-tipped Darner,2,2009,Aug,4,Bells Pond,8
White-faced Meadowhawk,12,2009,Aug,4,Bells Pond,8
Band-winged Meadowhawk,1,2009,Aug,4,Bells Pond,8
Autumn Meadowhawk,2,2009,Aug,4,Bells Pond,8
White-faced Meadowhawk,2,2009,Aug,4,Bells Pond,8
Band-winged Meadowhawk,1,2009,Aug,4,Bells Pond,8
Damselfly,1,2009,Aug,4,Bells Pond,8
White-faced Meadowhawk,12,2009,Aug,4,Bells Pond,8
Band-winged Meadowhawk,1,2009,Aug,4,Bells Pond,8
White-faced Meadowhawk,3,2009,Aug,4,Bells Pond,8
Band-winged Meadowhawk,3,2009,Aug,4,Bells Pond,8
Meadowhawk,1,2009,Aug,4,Bells Pond,8
Variable Darner,1,2009,Aug,5,Bog Pond,8
White-faced Meadowhawk,1,2009,Aug,5,Bog Pond,8
Variable Darner,1,2009,Aug,5,Bog Pond,8
Variable Darner,2,2009,Aug,5,Bog Pond,8
Variable Darner,1,2009,Aug,5,Bog Pond,8
Damselfly,1,2009,Aug,5,Bog Pond,8
White-faced Meadowhawk,1,2009,Aug,5,Bog Pond,8
Variable Darner,1,2009,Aug,5,Bog Pond,8
Variable Darner,1,2009,Aug,5,Bog Pond,8
Variable Darner,2,2009,Aug,5,Bog Pond,8
White-faced Meadowhawk,1,2009,Aug,5,Bog Pond,8
Variable Darner,2,2009,Aug,5,Bog Pond,8
White-faced Meadowhawk,2,2009,Aug,5,Bog Pond,8
Variable Darner,3,2009,Aug,5,Bog Pond,8
White-faced Meadowhawk,1,2009,Aug,5,Bog Pond,8
Variable Darner,1,2009,Aug,5,Bog Pond,8
Damselfly,1,2009,Aug,5,Bog Pond,8
White-faced Meadowhawk,1,2009,Aug,5,Bog Pond,8
Variable Darner,1,2009,Aug,5,Bog Pond,8
Frosted Whiteface,1,2009,Aug,5,Bog Pond,8
White-faced Meadowhawk,1,2009,Aug,5,Bog Pond,8
Variable Darner,2,2009,Aug,5,Bog Pond,8
White-faced Meadowhawk,1,2009,Aug,5,Bog Pond,8
White-faced Meadowhawk,1,2009,Aug,5,Bog Pond,8
Variable Darner,1,2009,Aug,5,Bog Pond,8
White-faced Meadowhawk,1,2009,Aug,5,Bog Pond,8
Variable Darner,1,2009,Aug,5,Bog Pond,8
White-faced Meadowhawk,1,2009,Aug,5,Bog Pond,8
Variable Darner,3,2009,Aug,5,Bog Pond,8
White-faced Meadowhawk,1,2009,Aug,5,Bog Pond,8
Variable Darner,3,2009,Aug,6,Bowley Pond,8
Damselfly,2,2009,Aug,6,Bowley Pond,8
Variable Darner,1,2009,Aug,6,Bowley Pond,8
Variable Darner,1,2009,Aug,6,Bowley Pond,8
Darner,1,2009,Aug,6,Bowley Pond,8
Variable Darner,4,2009,Aug,6,Bowley Pond,8
White-faced Meadowhawk,1,2009,Aug,6,Bowley Pond,8
Damselfly,2,2009,Aug,6,Bowley Pond,8
Variable Darner,6,2009,Aug,6,Bowley Pond,8
Racket-tailed Emerald,1,2009,Aug,6,Bowley Pond,8
Four-spotted Skimmer,1,2009,Aug,6,Bowley Pond,8
White-faced Meadowhawk,1,2009,Aug,6,Bowley Pond,8
Variable Darner,5,2009,Aug,6,Bowley Pond,8
Autumn Meadowhawk,1,2009,Aug,6,Bowley Pond,8
Variable Darner,1,2009,Aug,6,Bowley Pond,8
Damselfly,1,2009,Aug,6,Bowley Pond,8
Variable Darner,8,2009,Aug,6,Bowley Pond,8
Four-spotted Skimmer,4,2009,Aug,6,Bowley Pond,8
Autumn Meadowhawk,2,2009,Aug,6,Bowley Pond,8
Damselfly,1,2009,Aug,6,Bowley Pond,8
Variable Darner,5,2009,Aug,6,Bowley Pond,8
Canada Darner,2,2009,Aug,6,Bowley Pond,8
Variable Darner,8,2009,Aug,6,Bowley Pond,8
White-faced Meadowhawk,1,2009,Aug,6,Bowley Pond,8
Damselfly,7,2009,Aug,6,Bowley Pond,8
Canada Darner,2,2009,Aug,6,Bowley Pond,8
Variable Darner,4,2009,Aug,6,Bowley Pond,8
Dot-tailed Whiteface,1,2009,Aug,6,Bowley Pond,8
Canada Darner,1,2009,Aug,6,Bowley Pond,8
Variable Darner,7,2009,Aug,6,Bowley Pond,8
Damselfly,7,2009,Aug,6,Bowley Pond,8
Variable Darner,4,2009,Aug,6,Bowley Pond,8
Four-spotted Skimmer,1,2009,Aug,6,Bowley Pond,8
Variable Darner,2,2009,Aug,6,Bowley Pond,8
Canada Darner,1,2009,Aug,6,Bowley Pond,8
Variable Darner,2,2009,Aug,6,Bowley Pond,8
White-faced Meadowhawk,1,2009,Aug,6,Bowley Pond,8
Variable Darner,1,2009,Aug,6,Bowley Pond,8
Variable Darner,1,2009,Aug,6,Bowley Pond,8
Canada Darner,1,2009,Aug,6,Bowley Pond,8
Variable Darner,5,2009,Aug,6,Bowley Pond,8
Damselfly,6,2009,Aug,6,Bowley Pond,8
Variable Darner,5,2009,Aug,6,Bowley Pond,8
Variable Darner,3,2009,Aug,6,Bowley Pond,8
White-faced Meadowhawk,1,2009,Aug,6,Bowley Pond,8
Damselfly,1,2009,Aug,6,Bowley Pond,8
White-faced Meadowhawk,1,2009,Aug,6,Bowley Pond,8
Variable Darner,5,2009,Aug,6,Bowley Pond,8
Canada Darner,4,2009,Aug,6,Bowley Pond,8
Variable Darner,4,2009,Aug,6,Bowley Pond,8
Variable Darner,4,2009,Aug,6,Bowley Pond,8
Variable Darner,1,2009,Aug,6,Bowley Pond,8
Four-spotted Skimmer,1,2009,Aug,6,Bowley Pond,8
Variable Darner,2,2009,Aug,6,Bowley Pond,8
Variable Darner,5,2009,Aug,6,Bowley Pond,8
White-faced Meadowhawk,1,2009,Aug,6,Bowley Pond,8
Variable Darner,6,2009,Aug,6,Bowley Pond,8
White-faced Meadowhawk,1,2009,Aug,6,Bowley Pond,8
Damselfly,2,2009,Aug,6,Bowley Pond,8
Canada Darner,1,2009,Aug,6,Bowley Pond,8
Variable Darner,2,2009,Aug,6,Bowley Pond,8
Variable Darner,1,2009,Aug,6,Bowley Pond,8
Damselfly,1,2009,Aug,6,Bowley Pond,8
Variable Darner,3,2009,Aug,6,Bowley Pond,8
White-faced Meadowhawk,1,2009,Aug,6,Bowley Pond,8
Canada Darner,1,2009,Aug,6,Bowley Pond,8
Autumn Meadowhawk,1,2009,Aug,6,Bowley Pond,8
Variable Darner,3,2009,Aug,6,Bowley Pond,8
Bluets sp.,1,2009,Aug,6,Bowley Pond,8
Variable Darner,1,2009,Aug,8,Wills Pond,8
Band-winged Meadowhawk,2,2009,Aug,8,Wills Pond,8
Band-winged Meadowhawk,1,2009,Aug,8,Wills Pond,8
Damselfly,1,2009,Aug,8,Wills Pond,8
Black-tipped Darner,1,2009,Aug,8,Wills Pond,8
Band-winged Meadowhawk,1,2009,Aug,8,Wills Pond,8
Black-tipped Darner,1,2009,Aug,8,Wills Pond,8
Band-winged Meadowhawk,2,2009,Aug,8,Wills Pond,8
Darner,1,2009,Aug,8,Wills Pond,8
Four-spotted Skimmer,1,2009,Aug,8,Wills Pond,8
Band-winged Meadowhawk,2,2009,Aug,8,Wills Pond,8
Band-winged Meadowhawk,2,2009,Aug,8,Wills Pond,8
Black-tipped Darner,1,2009,Aug,8,Wills Pond,8
Band-winged Meadowhawk,1,2009,Aug,8,Wills Pond,8
Black-tipped Darner,2,2009,Aug,8,Wills Pond,8
Band-winged Meadowhawk,1,2009,Aug,8,Wills Pond,8
Black-tipped Darner,2,2009,Aug,8,Wills Pond,8
Band-winged Meadowhawk,1,2009,Aug,8,Wills Pond,8
White-faced Meadowhawk,1,2009,Aug,8,Wills Pond,8
Band-winged Meadowhawk,1,2009,Aug,8,Wills Pond,8
Band-winged Meadowhawk,3,2009,Aug,8,Wills Pond,8
White-faced Meadowhawk,1,2009,Aug,8,Wills Pond,8
Band-winged Meadowhawk,1,2009,Aug,8,Wills Pond,8
Saffron-winged Meadowhawk,1,2009,Aug,8,Wills Pond,8
Band-winged Meadowhawk,1,2009,Aug,8,Wills Pond,8
Band-winged Meadowhawk,1,2009,Aug,8,Wills Pond,8
Band-winged Meadowhawk,1,2009,Aug,8,Wills Pond,8
Band-winged Meadowhawk,1,2009,Aug,8,Wills Pond,8
White-faced Meadowhawk,1,2009,Aug,8,Wills Pond,8
Black-tipped Darner,1,2009,Aug,8,Wills Pond,8
Black-tipped Darner,1,2009,Aug,8,Wills Pond,8
Black-tipped Darner,1,2009,Aug,8,Wills Pond,8
Saffron-winged Meadowhawk,4,2009,Aug,9,John Archies Pond,8
Variable Darner,1,2009,Aug,9,John Archies Pond,8
Saffron-winged Meadowhawk,3,2009,Aug,9,John Archies Pond,8
Saffron-winged Meadowhawk,1,2009,Aug,9,John Archies Pond,8
Saffron-winged Meadowhawk,1,2009,Aug,9,John Archies Pond,8
White-faced Meadowhawk,1,2009,Aug,9,John Archies Pond,8
Saffron-winged Meadowhawk,4,2009,Aug,9,John Archies Pond,8
Saffron-winged Meadowhawk,5,2009,Aug,9,John Archies Pond,8
Variable Darner,1,2009,Aug,9,John Archies Pond,8
Saffron-winged Meadowhawk,3,2009,Aug,9,John Archies Pond,8
Lance-tipped Darner,2,2009,Aug,9,John Archies Pond,8
Variable Darner,7,2009,Aug,9,John Archies Pond,8
Saffron-winged Meadowhawk,1,2009,Aug,9,John Archies Pond,8
Band-winged Meadowhawk,1,2009,Aug,9,John Archies Pond,8
Variable Darner,1,2009,Aug,9,John Archies Pond,8
Darner,1,2009,Aug,9,John Archies Pond,8
Variable Darner,3,2009,Aug,9,John Archies Pond,8
Saffron-winged Meadowhawk,1,2009,Aug,9,John Archies Pond,8
Band-winged Meadowhawk,1,2009,Aug,9,John Archies Pond,8
Variable Darner,1,2009,Aug,9,John Archies Pond,8
Saffron-winged Meadowhawk,1,2009,Aug,9,John Archies Pond,8
Saffron-winged Meadowhawk,2,2009,Aug,9,John Archies Pond,8
Variable Darner,7,2009,Aug,9,John Archies Pond,8
Saffron-winged Meadowhawk,2,2009,Aug,9,John Archies Pond,8
Saffron-winged Meadowhawk,1,2009,Aug,9,John Archies Pond,8
Band-winged Meadowhawk,1,2009,Aug,9,John Archies Pond,8
Variable Darner,2,2009,Aug,9,John Archies Pond,8
Saffron-winged Meadowhawk,2,2009,Aug,9,John Archies Pond,8
Variable Darner,2,2009,Aug,9,John Archies Pond,8
Saffron-winged Meadowhawk,1,2009,Aug,9,John Archies Pond,8
White-faced Meadowhawk,1,2009,Aug,9,John Archies Pond,8
Lance-tipped Darner,1,2009,Aug,9,John Archies Pond,8
Variable Darner,2,2009,Aug,9,John Archies Pond,8
Darner,1,2009,Aug,9,John Archies Pond,8
Saffron-winged Meadowhawk,2,2009,Aug,9,John Archies Pond,8
Saffron-winged Meadowhawk,1,2009,Aug,9,John Archies Pond,8
Variable Darner,2,2009,Aug,9,John Archies Pond,8
Saffron-winged Meadowhawk,2,2009,Aug,9,John Archies Pond,8
Variable Darner,1,2009,Aug,9,John Archies Pond,8
Variable Darner,1,2009,Aug,9,John Archies Pond,8
Saffron-winged Meadowhawk,3,2009,Aug,9,John Archies Pond,8
Saffron-winged Meadowhawk,1,2009,Aug,9,John Archies Pond,8
Variable Darner,1,2009,Aug,9,John Archies Pond,8
Saffron-winged Meadowhawk,1,2009,Aug,9,John Archies Pond,8
Variable Darner,3,2009,Aug,9,John Archies Pond,8
Common Green Darner,1,2009,Aug,9,John Archies Pond,8
Saffron-winged Meadowhawk,1,2009,Aug,9,John Archies Pond,8
Variable Darner,4,2009,Aug,9,John Archies Pond,8
Saffron-winged Meadowhawk,1,2009,Aug,9,John Archies Pond,8
Meadowhawk,1,2009,Aug,9,John Archies Pond,8
Variable Darner,1,2009,Aug,9,John Archies Pond,8
Saffron-winged Meadowhawk,1,2009,Aug,9,John Archies Pond,8
Variable Darner,2,2009,Aug,9,John Archies Pond,8
Darner,1,2009,Aug,9,John Archies Pond,8
Saffron-winged Meadowhawk,5,2009,Aug,9,John Archies Pond,8
Variable Darner,2,2009,Aug,9,John Archies Pond,8
Saffron-winged Meadowhawk,1,2009,Aug,9,John Archies Pond,8
Variable Darner,1,2009,Aug,9,John Archies Pond,8
Saffron-winged Meadowhawk,1,2009,Aug,9,John Archies Pond,8
Variable Darner,2,2009,Aug,9,John Archies Pond,8
Saffron-winged Meadowhawk,1,2009,Aug,9,John Archies Pond,8
Damselfly,2,2009,Jul,2,Bowley Pond,7
Damselfly,5,2009,Jul,2,Bowley Pond,7
Canada Darner,1,2009,Jul,2,Bowley Pond,7
Damselfly,1,2009,Jul,2,Bowley Pond,7
Variable Darner,1,2009,Jul,2,Bowley Pond,7
Damselfly,1,2009,Jul,2,Bowley Pond,7
Dot-tailed Whiteface,1,2009,Jul,2,Bowley Pond,7
Damselfly,4,2009,Jul,2,Bowley Pond,7
Variable Darner,1,2009,Jul,2,Bowley Pond,7
Frosted Whiteface,1,2009,Jul,2,Bowley Pond,7
Damselfly,2,2009,Jul,2,Bowley Pond,7
Variable Darner,1,2009,Jul,2,Bowley Pond,7
American Emerald,1,2009,Jul,2,Bowley Pond,7
Damselfly,1,2009,Jul,2,Bowley Pond,7
Canada Darner,1,2009,Jul,2,Bowley Pond,7
Variable Darner,1,2009,Jul,2,Bowley Pond,7
Damselfly,4,2009,Jul,2,Bowley Pond,7
Damselfly,26,2009,Jul,2,Bowley Pond,7
Variable Darner,1,2009,Jul,2,Bowley Pond,7
Damselfly,6,2009,Jul,2,Bowley Pond,7
Variable Darner,2,2009,Jul,2,Bowley Pond,7
Damselfly,4,2009,Jul,2,Bowley Pond,7
Damselfly,4,2009,Jul,2,Bowley Pond,7
Damselfly,12,2009,Jul,2,Bowley Pond,7
Damselfly,21,2009,Jul,2,Bowley Pond,7
Damselfly,12,2009,Jul,2,Bowley Pond,7
Damselfly,4,2009,Jul,2,Bowley Pond,7
Variable Darner,2,2009,Jul,2,Bowley Pond,7
Damselfly,14,2009,Jul,2,Bowley Pond,7
Racket-tailed Emerald,1,2009,Jul,2,Bowley Pond,7
Damselfly,2,2009,Jul,2,Bowley Pond,7
Variable Darner,2,2009,Jul,2,Bowley Pond,7
Variable Darner,3,2009,Jul,2,Bowley Pond,7
Four-spotted Skimmer,2,2009,Jul,2,Bowley Pond,7
Canada Darner,1,2009,Jul,2,Bowley Pond,7
Four-spotted Skimmer,2,2009,Jul,2,Bowley Pond,7
Variable Darner,2,2009,Jul,2,Bowley Pond,7
Dot-tailed Whiteface,1,2009,Jul,2,Bowley Pond,7
Canada Darner,1,2009,Jul,2,Bowley Pond,7
Four-spotted Skimmer,1,2009,Jul,2,Bowley Pond,7
Racket-tailed Emerald,1,2009,Jul,2,Bowley Pond,7
Damselfly,1,2009,Jul,2,Bowley Pond,7
Variable Darner,2,2009,Jul,2,Bowley Pond,7
Damselfly,1,2009,Jul,2,Bowley Pond,7
Canada Darner,1,2009,Jul,2,Bowley Pond,7
Variable Darner,1,2009,Jul,2,Bowley Pond,7
Belted Whiteface,1,2009,Jul,2,Bowley Pond,7
Dot-tailed Whiteface,2,2009,Jul,2,Bowley Pond,7
Damselfly,1,2009,Jul,2,Bowley Pond,7
Damselfly,1,2009,Jul,2,Bowley Pond,7
Belted Whiteface,2,2009,Jul,2,Bowley Pond,7
Four-spotted Skimmer,2,2009,Jul,2,Bowley Pond,7
Damselfly,2,2009,Jul,2,Bowley Pond,7
Canada Darner,1,2009,Jul,2,Bowley Pond,7
Belted Whiteface,1,2009,Jul,2,Bowley Pond,7
Damselfly,2,2009,Jul,2,Bowley Pond,7
Variable Darner,1,2009,Jul,2,Bowley Pond,7
Dot-tailed Whiteface,2,2009,Jul,2,Bowley Pond,7
Variable Darner,1,2009,Jul,2,Bowley Pond,7
Dot-tailed Whiteface,1,2009,Jul,2,Bowley Pond,7
Four-spotted Skimmer,1,2009,Jul,2,Bowley Pond,7
Damselfly,1,2009,Jul,2,Bowley Pond,7
Variable Darner,4,2009,Jul,2,Bowley Pond,7
Dot-tailed Whiteface,1,2009,Jul,2,Bowley Pond,7
Four-spotted Skimmer,1,2009,Jul,2,Bowley Pond,7
Spiny Baskettail,1,2009,Jun,25,John Archies Pond,6
Dot-tailed Whiteface,1,2009,Jun,25,John Archies Pond,6
Four-spotted Skimmer,1,2009,Jun,25,John Archies Pond,6
Spiny Baskettail,5,2009,Jun,25,John Archies Pond,6
Spiny Baskettail,2,2009,Jun,25,John Archies Pond,6
Four-spotted Skimmer,1,2009,Jun,25,John Archies Pond,6
Damselfly,1,2009,Jun,25,John Archies Pond,6
Spiny Baskettail,1,2009,Jun,25,John Archies Pond,6
Four-spotted Skimmer,1,2009,Jun,25,John Archies Pond,6
Damselfly,1,2009,Jun,25,John Archies Pond,6
Damselfly,3,2009,Jun,25,John Archies Pond,6
Canada Darner,1,2009,Jun,25,John Archies Pond,6
Damselfly,2,2009,Jun,25,John Archies Pond,6
Spiny Baskettail,6,2009,Jun,25,John Archies Pond,6
Four-spotted Skimmer,3,2009,Jun,25,John Archies Pond,6
Racket-tailed Emerald,1,2009,Jun,25,John Archies Pond,6
Spiny Baskettail,2,2009,Jun,25,John Archies Pond,6
Four-spotted Skimmer,3,2009,Jun,25,John Archies Pond,6
Damselfly,3,2009,Jun,25,John Archies Pond,6
Four-spotted Skimmer,2,2009,Jun,25,John Archies Pond,6
Spiny Baskettail,6,2009,Jun,25,John Archies Pond,6
Four-spotted Skimmer,2,2009,Jun,25,John Archies Pond,6
Spiny Baskettail,1,2009,Jun,25,John Archies Pond,6
Four-spotted Skimmer,6,2009,Jun,25,John Archies Pond,6
Spiny Baskettail,1,2009,Jun,25,John Archies Pond,6
Four-spotted Skimmer,3,2009,Jun,25,John Archies Pond,6
Spiny Baskettail,2,2009,Jun,25,John Archies Pond,6
Spiny Baskettail,2,2009,Jun,25,John Archies Pond,6
Damselfly,2,2009,Jun,25,John Archies Pond,6
Spiny Baskettail,1,2009,Jun,25,John Archies Pond,6
Spiny Baskettail,1,2009,Jun,25,John Archies Pond,6
Spiny Baskettail,7,2009,Jun,25,John Archies Pond,6
Spiny Baskettail,5,2009,Jun,25,John Archies Pond,6
Damselfly,3,2009,Jun,25,John Archies Pond,6
Spiny Baskettail,34,2009,Jun,25,John Archies Pond,6
Damselfly,2,2009,Jun,25,John Archies Pond,6
Spiny Baskettail,21,2009,Jun,25,John Archies Pond,6
Damselfly,2,2009,Jun,25,John Archies Pond,6
Spiny Baskettail,14,2009,Jun,25,John Archies Pond,6
Four-spotted Skimmer,1,2009,Jun,25,John Archies Pond,6
Damselfly,6,2009,Jun,25,John Archies Pond,6
Four-spotted Skimmer,2,2009,Jun,25,John Archies Pond,6
Spiny Baskettail,6,2009,Jun,25,John Archies Pond,6
Four-spotted Skimmer,1,2009,Jun,25,John Archies Pond,6
Spiny Baskettail,6,2009,Jun,25,John Archies Pond,6
Spiny Baskettail,8,2009,Jun,25,John Archies Pond,6
Spiny Baskettail,6,2009,Jun,25,John Archies Pond,6
Beaverpond Baskettail,2,2009,Jun,26,Wills Pond,6
Four-spotted Skimmer,1,2009,Jun,26,Wills Pond,6
American Emerald,2,2009,Jun,26,Wills Pond,6
Beaverpond Baskettail,2,2009,Jun,26,Wills Pond,6
Four-spotted Skimmer,2,2009,Jun,26,Wills Pond,6
Dot-tailed Whiteface,2,2009,Jun,26,Wills Pond,6
Four-spotted Skimmer,2,2009,Jun,26,Wills Pond,6
Four-spotted Skimmer,2,2009,Jun,26,Wills Pond,6
Four-spotted Skimmer,3,2009,Jun,26,Wills Pond,6
American Emerald,1,2009,Jun,26,Wills Pond,6
Four-spotted Skimmer,1,2009,Jun,26,Wills Pond,6
Dot-tailed Whiteface,1,2009,Jun,26,Wills Pond,6
Beaverpond Baskettail,1,2009,Jun,26,Wills Pond,6
Dot-tailed Whiteface,1,2009,Jun,26,Wills Pond,6
Dot-tailed Whiteface,1,2009,Jun,26,Wills Pond,6
Beaverpond Baskettail,2,2009,Jun,26,Wills Pond,6
Dot-tailed Whiteface,3,2009,Jun,26,Wills Pond,6
Four-spotted Skimmer,2,2009,Jun,26,Wills Pond,6
Four-spotted Skimmer,1,2009,Jun,26,Wills Pond,6
Beaverpond Baskettail,1,2009,Jun,26,Wills Pond,6
Dot-tailed Whiteface,2,2009,Jun,26,Wills Pond,6
Beaverpond Baskettail,1,2009,Jun,26,Wills Pond,6
Beaverpond Baskettail,1,2009,Jun,26,Wills Pond,6
Dot-tailed Whiteface,16,2009,Jun,26,Wills Pond,6
Four-spotted Skimmer,5,2009,Jun,26,Wills Pond,6
Dot-tailed Whiteface,5,2009,Jun,26,Wills Pond,6
Dot-tailed Whiteface,10,2009,Jun,26,Wills Pond,6
Four-spotted Skimmer,1,2009,Jun,26,Wills Pond,6
Dot-tailed Whiteface,3,2009,Jun,26,Wills Pond,6
Four-spotted Skimmer,1,2009,Jun,26,Wills Pond,6
Dot-tailed Whiteface,11,2009,Jun,26,Wills Pond,6
Four-spotted Skimmer,1,2009,Jun,26,Wills Pond,6
Four-spotted Skimmer,1,2009,Jun,26,Wills Pond,6
Canada Darner,2,2009,Jun,26,Wills Pond,6
Four-spotted Skimmer,3,2009,Jun,26,Wills Pond,6
Dot-tailed Whiteface,1,2009,Jun,26,Wills Pond,6
Four-spotted Skimmer,1,2009,Jun,26,Wills Pond,6
Dot-tailed Whiteface,1,2009,Jun,26,Wills Pond,6
Four-spotted Skimmer,2,2009,Jun,26,Wills Pond,6
Brush-tipped Emerald,1,2009,Jun,26,Wills Pond,6
American Emerald,1,2009,Jun,26,Wills Pond,6
Variable Darner,1,2009,Jun,29,Bells Pond,6
Spiny Baskettail,1,2009,Jun,29,Bells Pond,6
Dot-tailed Whiteface,1,2009,Jun,29,Bells Pond,6
Four-spotted Skimmer,2,2009,Jun,29,Bells Pond,6
Brush-tipped Emerald,1,2009,Jun,29,Bells Pond,6
Four-spotted Skimmer,1,2009,Jun,29,Bells Pond,6
Spiny Baskettail,2,2009,Jun,29,Bells Pond,6
Dot-tailed Whiteface,1,2009,Jun,29,Bells Pond,6
Four-spotted Skimmer,4,2009,Jun,29,Bells Pond,6
Dot-tailed Whiteface,1,2009,Jun,29,Bells Pond,6
Four-spotted Skimmer,1,2009,Jun,29,Bells Pond,6
Four-spotted Skimmer,2,2009,Jun,29,Bells Pond,6
Four-spotted Skimmer,4,2009,Jun,29,Bells Pond,6
Spiny Baskettail,1,2009,Jun,29,Bells Pond,6
Four-spotted Skimmer,1,2009,Jun,29,Bells Pond,6
Dot-tailed Whiteface,1,2009,Jun,29,Bells Pond,6
Four-spotted Skimmer,3,2009,Jun,29,Bells Pond,6
Four-spotted Skimmer,1,2009,Jun,29,Bells Pond,6
Four-spotted Skimmer,5,2009,Jun,29,Bells Pond,6
Damselfly,2,2009,Jun,29,Bells Pond,6
Damselfly,1,2009,Jun,29,Bells Pond,6
Spiny Baskettail,1,2009,Jun,29,Bells Pond,6
Canada Darner,1,2009,Jun,29,Bells Pond,6
Variable Darner,1,2009,Jun,29,Bells Pond,6
Damselfly,3,2009,Jun,29,Bells Pond,6
Damselfly,3,2009,Jun,29,Bells Pond,6
